Latitude (decimal degrees):	52.440
Longitude (decimal degrees):	16.900
Elevation (m):	88
Radiation database:	PVGIS-SARAH


Slope: 35 deg. 
Azimuth: -179 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20150101:0011,0.0,0.0,1.51,3.96,0.0
20150101:0111,0.0,0.0,1.83,4.08,0.0
20150101:0211,0.0,0.0,2.16,4.2,0.0
20150101:0311,0.0,0.0,2.48,4.32,0.0
20150101:0411,0.0,0.0,2.37,4.27,0.0
20150101:0511,0.0,0.0,2.26,4.22,0.0
20150101:0611,0.0,0.0,2.16,4.17,0.0
20150101:0711,0.0,0.13,2.13,4.35,1.0
20150101:0811,39.35,6.45,2.11,4.54,0.0
20150101:0911,57.71,11.16,2.09,4.73,0.0
20150101:1011,90.07,13.92,2.24,5.12,0.0
20150101:1111,62.09,14.48,2.4,5.5,0.0
20150101:1211,39.35,12.79,2.55,5.89,0.0
20150101:1311,36.73,9.0,2.01,5.26,0.0
20150101:1411,15.74,3.42,1.48,4.63,0.0
20150101:1511,0.0,0.0,0.94,4.0,0.0
20150101:1611,0.0,0.0,0.64,4.07,0.0
20150101:1711,0.0,0.0,0.34,4.14,0.0
20150101:1811,0.0,0.0,0.04,4.21,0.0
20150101:1911,0.0,0.0,0.04,4.4,0.0
20150101:2011,0.0,0.0,0.03,4.58,0.0
20150101:2111,0.0,0.0,0.02,4.77,0.0
20150101:2211,0.0,0.0,0.2,5.03,0.0
20150101:2311,0.0,0.0,0.39,5.28,0.0
20150102:0011,0.0,0.0,0.57,5.53,0.0
20150102:0111,0.0,0.0,1.1,5.85,0.0
20150102:0211,0.0,0.0,1.64,6.17,0.0
20150102:0311,0.0,0.0,2.17,6.5,0.0
20150102:0411,0.0,0.0,2.42,6.48,0.0
20150102:0511,0.0,0.0,2.67,6.46,0.0
20150102:0611,0.0,0.0,2.92,6.44,0.0
20150102:0711,0.0,0.15,3.49,6.9,1.0
20150102:0811,6.12,6.49,4.06,7.35,0.0
20150102:0911,32.35,11.22,4.64,7.81,0.0
20150102:1011,18.36,13.99,4.76,7.94,0.0
20150102:1111,21.86,14.57,4.89,8.07,0.0
20150102:1211,15.74,12.89,5.02,8.21,0.0
20150102:1311,32.35,9.11,5.22,8.35,0.0
20150102:1411,13.99,3.55,5.43,8.49,0.0
20150102:1511,0.0,0.0,5.63,8.63,0.0
20150102:1611,0.0,0.0,5.37,8.51,0.0
20150102:1711,0.0,0.0,5.11,8.39,0.0
20150102:1811,0.0,0.0,4.84,8.26,0.0
20150102:1911,0.0,0.0,4.43,8.41,0.0
20150102:2011,0.0,0.0,4.01,8.56,0.0
20150102:2111,0.0,0.0,3.6,8.7,0.0
20150102:2211,0.0,0.0,3.47,8.68,0.0
20150102:2311,0.0,0.0,3.34,8.66,0.0
20150103:0011,0.0,0.0,3.2,8.63,0.0
20150103:0111,0.0,0.0,3.05,8.81,0.0
20150103:0211,0.0,0.0,2.91,8.99,0.0
20150103:0311,0.0,0.0,2.76,9.17,0.0
20150103:0411,0.0,0.0,2.63,8.84,0.0
20150103:0511,0.0,0.0,2.5,8.51,0.0
20150103:0611,0.0,0.0,2.38,8.18,0.0
20150103:0711,0.0,0.18,2.5,8.29,1.0
20150103:0811,28.86,6.53,2.62,8.4,0.0
20150103:0911,76.08,11.28,2.74,8.51,0.0
20150103:1011,97.06,14.07,3.02,8.78,0.0
20150103:1111,101.44,14.67,3.29,9.04,0.0
20150103:1211,89.19,13.0,3.57,9.31,0.0
20150103:1311,58.59,9.24,3.36,9.0,0.0
20150103:1411,18.36,3.68,3.14,8.68,0.0
